"ID","LAT","LON","STNELEV","NAME","GRELEV","POPCLS","POPSIZ","TOPO","STVEG","STLOC","OCNDIS","AIRSTN","TOWNDIS","GRVEG","POPCSS"
30187349000,-31.67,-63.88,338,"PILAR OBSERVA                 ",343,"R",-9,"FL","xx","no",-9,"x",-9,"SUCCULENT THORNS","C"
30187374000,-31.78,-60.48,78,"PARANA AERO                   ",60,"U",160,"FL","xx","no",-9,"A",2,"WARM CROPS      ","C"
30187374001,-30.8,-59.8,-999,"LA PAZ, ARGENTINA             ",30,"R",-9,"FL","MA","no",-9,"x",-9,"WARM IRRIGATED  ","A"
30187395000,-31.3,-58.02,38,"CONCORDIA AER                 ",39,"U",94,"FL","xx","LA",-9,"A",7,"WARM GRASS/SHRUB","C"
30187395001,-31.5,-58,38,"CONCORDIA (WAS 873960)        ",60,"U",94,"FL","xx","LA",-9,"A",7,"WARM CROPS      ","A"
30187400001,-32.9,-70.2,3800,"CRISTO REDENTOR      ARGENTINA",3109,"R",-9,"MV","xx","no",-9,"x",-9,"TUNDRA          ","A"
30187418000,-32.83,-68.78,704,"MENDOZA AERO                  ",835,"U",597,"MV","xx","no",-9,"A",5,"WARM GRASS/SHRUB","C"
30187418001,-32.9,-68.9,828,"MENDOZA OBSERVATORIO          ",1196,"U",597,"MV","xx","no",-9,"x",-9,"WARM GRASS/SHRUB","C"
30187436000,-33.27,-66.35,713,"SAN LUIS AERO                 ",636,"U",71,"HI","xx","no",-9,"A",2,"WARM IRRIGATED  ","C"
30187448000,-33.73,-65.38,486,"VILLA REYNOLD                 ",509,"U",51,"FL","xx","no",-9,"A",10,"WARM GRASS/SHRUB","A"
30187453000,-33.12,-64.23,421,"RIO CUARTO AE                 ",466,"U",110,"FL","xx","no",-9,"A",3,"WARM CROPS      ","A"
30187467001,-32.5,-62.6,-999,"BELL VILLE, ARGENTINA         ",120,"R",-9,"FL","xx","no",-9,"x",-9,"WARM CROPS      ","A"
30187480000,-32.92,-60.78,25,"ROSARIO AERO                  ",41,"U",955,"FL","xx","no",-9,"A",4,"WARM CROPS      ","C"
30187480001,-33,-61.2,-999,"CASILDA, ARGENTINA            ",66,"S",15,"FL","xx","no",-9,"x",-9,"WARM CROPS      ","A"
30187497000,-33,-58.62,21,"GUALEGUAYCHU                  ",30,"S",40,"FL","xx","CO",25,"A",7,"WARM CROPS      ","A"
30187506001,-37.1,-70.3,864,"CHOS MALAL                    ",1613,"R",-9,"MV","xx","no",-9,"x",-9,"COOL DESERT     ","A"
30187509000,-34.58,-68.4,748,"SAN RAFAEL AE                 ",801,"U",60,"HI","xx","no",-9,"A",5,"WARM GRASS/SHRUB","B"
30187534000,-34.13,-63.37,137,"LABOULAYE                     ",150,"S",13,"FL","xx","no",-9,"A",1,"WARM CROPS      ","C"
30187544000,-35.87,-61.9,86,"PEHUAJO AERO                  ",90,"S",25,"FL","xx","no",-9,"A",3,"WARM CROPS      ","A"
30187548000,-34.55,-60.92,81,"JUNIN AERO                    ",90,"S",42,"FL","xx","no",-9,"x",-9,"WARM CROPS      ","C"
30187563000,-36.07,-59.1,38,"LAS FLORES AE                 ",30,"S",15,"FL","xx","no",-9,"A",1,"WARM CROPS      ","A"
30187568001,-34.3,-58.7,-999,"SAN MIGUEL, ARGENTINA         ",3,"R",-9,"FL","MA","CO",20,"x",-9,"MARSH, SWAMP    ","B"
30187571001,-34.7,-59.5,-999,"MERCEDES, ARGENTINA           ",30,"U",51,"FL","xx","no",-9,"x",-9,"WARM CROPS      ","A"
30187576000,-34.82,-58.53,20,"EZEIZA AERO                   ",30,"U",9927,"FL","xx","CO",25,"A",4,"WARM CROPS      ","C"
30187582000,-34.6,-58.5,6,"AEROPARQUE                    ",21,"U",9927,"FL","xx","CO",4,"x",-9,"WARM CROPS      ","C"
30187585000,-34.58,-58.48,25,"BUENOS AIRES                  ",21,"U",9927,"FL","xx","CO",4,"x",-9,"WARM CROPS      ","C"
30187596000,-35.37,-57.28,22,"PUNTA INDIO B                 ",30,"R",-9,"FL","xx","CO",10,"A",-9,"WATER           ","A"
30187623000,-36.57,-64.27,191,"SANTA ROSA AE                 ",206,"U",52,"FL","xx","no",-9,"A",2,"WARM GRASS/SHRUB","C"
30187623001,-37.4,-64.6,230,"GENERAL ACHA                  ",262,"R",-9,"FL","DE","no",-9,"A",-9,"WARM GRASS/SHRUB","A"
30187623002,-37.1,-63.7,142,"MACACHIN, ARGENTINA           ",150,"R",-9,"FL","DE","no",-9,"x",-9,"WARM CROPS      ","A"
30187642000,-36.75,-59.83,132,"AZUL AERO                     ",103,"S",44,"FL","xx","no",-9,"A",3,"WARM CROPS      ","C"
30187648000,-36.35,-57.73,9,"DOLORES AERO                  ",0,"S",20,"FL","xx","no",-9,"A",2,"WARM CROPS      ","A"
30187648001,-36.5,-57.3,-999,"GEN. CONESA, ARGENTINA        ",0,"R",-9,"FL","xx","CO",30,"x",-9,"MARSH, SWAMP    ","A"
30187679000,-37.6,-62.38,304,"PIGUE AERO                    ",275,"S",10,"HI","xx","no",-9,"A",1,"WARM CROPS      ","B"
30187688000,-38.33,-60.25,115,"TRES ARROYOS                  ",136,"S",42,"FL","xx","no",-9,"A",3,"WARM CROPS      ","B"
30187692000,-37.93,-57.58,21,"MAR DEL PLATA                 ",35,"U",407,"FL","xx","CO",4,"A",5,"WARM CROPS      ","C"
30187692001,-37.8,-58.3,-999,"BALCARCA, ARGENTINA           ",134,"S",29,"HI","xx","no",-9,"x",-9,"WARM CROPS      ","A"
30187715000,-38.95,-68.13,271,"NEUQUEN AERO                  ",342,"U",97,"HI","xx","no",-9,"A",5,"COOL DESERT     ","C"
30187715001,-39.2,-66.8,-999,"CHOELE CHOEL, ARGENTINA       ",253,"R",-9,"FL","xx","no",-9,"x",-9,"COOL DESERT     ","A"
30187715002,-39,-68,265,"CIPOLLETTI ARGENTINA          ",294,"U",97,"HI","xx","no",-9,"x",-9,"COOL DESERT     ","B"
30187750000,-38.7,-62.2,72,"BAHIA BLANCA AERO             ",63,"U",221,"FL","xx","CO",5,"A",3,"WARM CROPS      ","C"
30187750002,-38.7,-62.2,74,"COMANDANTE ESPORA B.N.        ",63,"U",221,"FL","xx","CO",5,"A",3,"WARM CROPS      ","C"
30187765000,-41.15,-71.17,840,"BARILOCHE AER                 ",988,"S",48,"MV","xx","LA",-9,"A",10,"WARM GRASS/SHRUB","A"
30187774000,-41.25,-68.73,888,"MAQUINCHAO                    ",880,"R",-9,"HI","DE","no",-9,"A",-9,"COOL DESERT     ","A"
30187784000,-40.78,-65.1,20,"SAN ANTONIO O                 ",67,"R",-9,"FL","DE","CO",1,"A",-9,"WARM GRASS/SHRUB","B"
30187791000,-40.85,-63.02,7,"VIEDMA AERO                   ",30,"S",24,"FL","xx","no",-9,"A",7,"COOL DESERT     ","B"
30187803000,-42.93,-71.15,785,"ESQUEL AERO                   ",1355,"S",15,"MV","xx","no",-9,"A",10,"WARM GRASS/SHRUB","A"
30187814000,-43.82,-68.88,460,"PASO DEL LOS INDIOS           ",-999,"R",-9,"HI","DE","no",-9,"x",-9,"WATER           ","A"
30187823001,-42.8,-65,7,"PUERTO MADRYN B. A.           ",5,"S",21,"FL","xx","CO",1,"A",3,"WATER           ","B"
30187828000,-43.2,-65.27,43,"TRELEW AERO                   ",84,"U",52,"FL","xx","CO",22,"A",5,"COOL DESERT     ","B"
