gridID,poly
1864,"POLYGON ((75 -45, 80 -45, 80 -50, 75 -50, 75 -45))"
1865,"POLYGON ((75 -50, 80 -50, 80 -55, 75 -55, 75 -50))"
1866,"POLYGON ((75 -55, 80 -55, 80 -60, 75 -60, 75 -55))"
1867,"POLYGON ((75 -60, 80 -60, 80 -65, 75 -65, 75 -60))"
1868,"POLYGON ((75 -65, 80 -65, 80 -70, 75 -70, 75 -65))"
1869,"POLYGON ((75 -70, 80 -70, 80 -75, 75 -75, 75 -70))"
1870,"POLYGON ((75 -75, 80 -75, 80 -80, 75 -80, 75 -75))"
1871,"POLYGON ((75 -80, 80 -80, 80 -85, 75 -85, 75 -80))"
1872,"POLYGON ((75 -85, 80 -85, 80 -90, 75 -90, 75 -85))"
1873,"POLYGON ((80 90, 85 90, 85 85, 80 85, 80 90))"
1874,"POLYGON ((80 85, 85 85, 85 80, 80 80, 80 85))"
1875,"POLYGON ((80 80, 85 80, 85 75, 80 75, 80 80))"
1876,"POLYGON ((80 75, 85 75, 85 70, 80 70, 80 75))"
1877,"POLYGON ((80 70, 85 70, 85 65, 80 65, 80 70))"
1878,"POLYGON ((80 65, 85 65, 85 60, 80 60, 80 65))"
1879,"POLYGON ((80 60, 85 60, 85 55, 80 55, 80 60))"
1880,"POLYGON ((80 55, 85 55, 85 50, 80 50, 80 55))"
1881,"POLYGON ((80 50, 85 50, 85 45, 80 45, 80 50))"
1882,"POLYGON ((80 45, 85 45, 85 40, 80 40, 80 45))"
1883,"POLYGON ((80 40, 85 40, 85 35, 80 35, 80 40))"
1884,"POLYGON ((80 35, 85 35, 85 30, 80 30, 80 35))"
1885,"POLYGON ((80 30, 85 30, 85 25, 80 25, 80 30))"
1886,"POLYGON ((80 25, 85 25, 85 20, 80 20, 80 25))"
1887,"POLYGON ((80 20, 85 20, 85 15, 80 15, 80 20))"
1888,"POLYGON ((80 15, 85 15, 85 10, 80 10, 80 15))"
1889,"POLYGON ((80 10, 85 10, 85 5, 80 5, 80 10))"
1890,"POLYGON ((80 5, 85 5, 85 0, 80 0, 80 5))"
1891,"POLYGON ((80 0, 85 0, 85 -5, 80 -5, 80 0))"
1892,"POLYGON ((80 -5, 85 -5, 85 -10, 80 -10, 80 -5))"
1893,"POLYGON ((80 -10, 85 -10, 85 -15, 80 -15, 80 -10))"
1894,"POLYGON ((80 -15, 85 -15, 85 -20, 80 -20, 80 -15))"
1895,"POLYGON ((80 -20, 85 -20, 85 -25, 80 -25, 80 -20))"
1896,"POLYGON ((80 -25, 85 -25, 85 -30, 80 -30, 80 -25))"
1897,"POLYGON ((80 -30, 85 -30, 85 -35, 80 -35, 80 -30))"
1898,"POLYGON ((80 -35, 85 -35, 85 -40, 80 -40, 80 -35))"
1899,"POLYGON ((80 -40, 85 -40, 85 -45, 80 -45, 80 -40))"
1900,"POLYGON ((80 -45, 85 -45, 85 -50, 80 -50, 80 -45))"
1901,"POLYGON ((80 -50, 85 -50, 85 -55, 80 -55, 80 -50))"
1902,"POLYGON ((80 -55, 85 -55, 85 -60, 80 -60, 80 -55))"
1903,"POLYGON ((80 -60, 85 -60, 85 -65, 80 -65, 80 -60))"
1904,"POLYGON ((80 -65, 85 -65, 85 -70, 80 -70, 80 -65))"
1905,"POLYGON ((80 -70, 85 -70, 85 -75, 80 -75, 80 -70))"
1906,"POLYGON ((80 -75, 85 -75, 85 -80, 80 -80, 80 -75))"
1907,"POLYGON ((80 -80, 85 -80, 85 -85, 80 -85, 80 -80))"
1908,"POLYGON ((80 -85, 85 -85, 85 -90, 80 -90, 80 -85))"
1909,"POLYGON ((85 90, 90 90, 90 85, 85 85, 85 90))"
1910,"POLYGON ((85 85, 90 85, 90 80, 85 80, 85 85))"
1911,"POLYGON ((85 80, 90 80, 90 75, 85 75, 85 80))"
1912,"POLYGON ((85 75, 90 75, 90 70, 85 70, 85 75))"
1913,"POLYGON ((85 70, 90 70, 90 65, 85 65, 85 70))"
1914,"POLYGON ((85 65, 90 65, 90 60, 85 60, 85 65))"
1915,"POLYGON ((85 60, 90 60, 90 55, 85 55, 85 60))"
1916,"POLYGON ((85 55, 90 55, 90 50, 85 50, 85 55))"
