year,anoma,anomb,anomc,anomd
1931,0.542919142462057,0.167556994269226,0.0891309664160995,-0.118679219858703
2013,0.547105265200047,0.0520433722922107,0.0822122491034694,-0.196258299331887
2007,0.976116628930242,0.507356070963137,0.495509062078749,0.206239322870855
1984,-0.0468703810502463,-0.497396432637754,-0.388912723745529,-0.813499365563055
1957,0.010924122437081,-0.46362038206458,-0.433045733146371,-0.792961578101022
1961,0.13604934600765,-0.425904952156214,-0.258314151873753,-0.736591370160912
1914,-0.00560738688046813,-0.564666067266643,-0.511383013656192,-0.880336550207312
2002,0.79409424056387,0.33883670384582,0.335322704491424,0.0510393344254174
1926,-0.102512053769532,-0.646178232189919,-0.6184721170195,-0.938192017698483
1988,0.340724856538419,-0.122345935288051,-0.0159197293079406,-0.456095653721904
2003,0.615574161458646,0.154183327023955,0.154699664075213,-0.125373388611493
1928,-0.0271105650087756,-0.600531280586646,-0.553854071616287,-0.910803306501778
1930,0.128826634634331,-0.394497205139572,-0.374298318106658,-0.689523171345783
1999,0.874162048799048,0.422067259384289,0.443797764390737,0.15277454642904
2005,0.852034713158886,0.374965399309899,0.363548508510563,0.0755858243656961
1905,-0.462046601383323,-1.0313591425507,-0.988904822510124,-1.29928097059619
1996,-0.0730560011601472,-0.480512049249448,-0.478495248002104,-0.814836699392571
1954,0.0786947078126126,-0.291079941349782,-0.340448297734126,-0.597213421966007
1938,0.502647529930956,0.077748788889564,0.0681216061656685,-0.208778630958209
1912,-0.643429781459756,-1.27187647786118,-1.19889595682711,-1.61335440328248
1973,0.207470321881676,-0.245841919353502,-0.170643286797808,-0.576131190867204
1941,0.214645556458686,-0.219100017774932,-0.253102016154944,-0.543881155268133
1927,-0.130195929642692,-0.542183154340777,-0.591356532831589,-0.812597012166912
2001,0.807132970685755,0.363423689950144,0.359982715439255,0.0785990016845079
1997,0.282849802044468,-0.144834585537804,-0.130755845740893,-0.453722966727554
1960,-0.0636017111580499,-0.6700979411654,-0.509054478438098,-0.993822722786831
1987,0.438350929115603,-0.0131866258780304,0.08586595779178,-0.364815345872022
1978,-0.182184302838056,-0.743618168484696,-0.561756250868733,-1.08590445016335
2006,1.0702735341076,0.630750386013014,0.58480622027314,0.292548353936448
1921,0.578362672076482,0.259033437794257,0.14124407012391,-0.0137394120796545
1993,-0.114796190321868,-0.506536658803429,-0.511969695142636,-0.855311433856468
1964,-0.205458189812946,-0.674558190868288,-0.614550989212206,-0.998691663042677
1986,0.231945213847216,-0.159853677218454,-0.117685749288189,-0.457691652631669
1959,0.102344247110775,-0.399631394820489,-0.320197936914181,-0.733561314829765
1939,0.34792838107682,-0.0213556086436137,-0.0675410175882241,-0.298427573392284
1991,0.542980788906218,0.125456282957961,0.151779825388848,-0.131367984654703
1911,-0.0604526439643495,-0.464436259848538,-0.538542190637986,-0.742534843926927
1919,-0.169900647855476,-0.672107713548473,-0.656134370726078,-0.979367421712065
1969,-0.229422465815816,-0.765177768384492,-0.666942173108757,-1.12700756635508
2010,0.770638992751215,0.295519185337398,0.29232893375558,0.0070138622215298
1934,0.452225107004128,0.146654467556211,0.0379185972881853,-0.126191349446715
1940,-0.0972156885469032,-0.698101213840845,-0.602128027220495,-1.01614610032958
1982,-0.0828618171733233,-0.549689657283552,-0.42819541973513,-0.89006839839287
1952,0.0800658613852969,-0.414718014482675,-0.386432427716971,-0.726956437559117
2009,0.508709890913451,0.0220310777868186,0.0311866324359866,-0.249117343181787
1998,1.12726309146896,0.674679736298287,0.698361038282618,0.416543649541539
1990,0.725291518925139,0.324530679038855,0.366312742725796,0.0283397615227948
1915,-0.0946593930225654,-0.683629072294213,-0.615343169470054,-1.01123741365197
1918,-0.175980216462485,-0.63086851606539,-0.656898630608779,-0.905864588734644
1977,0.187154667231792,-0.277950313802736,-0.185977859597211,-0.610664771467163
